epoch,step,train_loss,val_loss
0,49,0.6212294697761536,
0,49,,0.64553302526474
1,99,0.5590576529502869,
1,99,,0.619875967502594
2,149,0.49136844277381897,
2,149,,0.608566403388977
3,199,0.5077129006385803,
3,199,,0.6046656966209412
4,249,0.4836435914039612,
4,249,,0.6045031547546387
5,299,0.5116137862205505,
5,299,,0.6045992374420166
6,349,0.5132836103439331,
6,349,,0.6042550206184387
7,399,0.5089228749275208,
7,399,,0.6036349534988403
8,449,0.5260335206985474,
8,449,,0.6032652854919434
9,499,0.5187653303146362,
9,499,,0.602554202079773
10,549,0.504988431930542,
10,549,,0.6001110076904297
11,599,0.5170202255249023,
11,599,,0.5978360176086426
12,649,0.5005879998207092,
12,649,,0.5955145955085754
13,699,0.47055038809776306,
13,699,,0.5926873087882996
14,749,0.4826989471912384,
14,749,,0.5898014903068542
15,799,0.48164302110671997,
15,799,,0.5859391689300537
16,849,0.47006407380104065,
16,849,,0.5832801461219788
17,899,0.4838905334472656,
17,899,,0.580101490020752
18,949,0.492139607667923,
18,949,,0.5775082111358643
19,999,0.4787530303001404,
19,999,,0.5757993459701538
20,1049,0.46403560042381287,
20,1049,,0.5745775699615479
21,1099,0.44675201177597046,
21,1099,,0.5735042691230774
22,1149,0.4420313239097595,
22,1149,,0.5724619626998901
23,1199,0.43927809596061707,
23,1199,,0.571344256401062
24,1249,0.4495585560798645,
24,1249,,0.5702616572380066
25,1299,0.4281467795372009,
25,1299,,0.5692578554153442
26,1349,0.40821850299835205,
26,1349,,0.5695841908454895
27,1399,0.41890329122543335,
27,1399,,0.5702724456787109
28,1449,0.40938103199005127,
28,1449,,0.5708091259002686
29,1499,0.3869835436344147,
29,1499,,0.5714089870452881
30,1549,0.43154922127723694,
30,1549,,0.5717296004295349
31,1599,0.41161996126174927,
31,1599,,0.5714992880821228
32,1649,0.4207252264022827,
32,1649,,0.5737447142601013
33,1699,0.37057584524154663,
33,1699,,0.5757426023483276
34,1749,0.39330974221229553,
34,1749,,0.576244056224823
35,1799,0.3814717233181,
35,1799,,0.5755252838134766
