epoch,step,train_loss,val_loss
0,49,0.4466537833213806,
0,49,,0.5924587845802307
1,99,0.4788801968097687,
1,99,,0.591921865940094
2,149,0.4756928086280823,
2,149,,0.5909174084663391
3,199,0.4788479208946228,
3,199,,0.5840297937393188
4,249,0.46932169795036316,
4,249,,0.5753394365310669
5,299,0.4290267527103424,
5,299,,0.568233072757721
6,349,0.4080577790737152,
6,349,,0.5668261051177979
7,399,0.37115174531936646,
7,399,,0.5684748291969299
8,449,0.39076972007751465,
8,449,,0.5676435232162476
9,499,0.3524368107318878,
9,499,,0.5763611197471619
10,549,0.33366629481315613,
10,549,,0.5803641080856323
11,599,0.35404157638549805,
11,599,,0.5922360420227051
12,649,0.3532559275627136,
12,649,,0.5995163321495056
13,699,0.37331387400627136,
13,699,,0.5986509919166565
14,749,0.2930505871772766,
14,749,,0.5965258479118347
15,799,0.34060484170913696,
15,799,,0.5966424942016602
16,849,0.3551289439201355,
16,849,,0.5965315103530884
17,899,0.32005053758621216,
17,899,,0.5953201651573181
18,949,0.3338349163532257,
18,949,,0.6075122952461243
19,999,0.3137642741203308,
19,999,,0.6003193259239197
20,1049,0.346149206161499,
20,1049,,0.6005390286445618
21,1099,0.33284658193588257,
21,1099,,0.595990002155304
22,1149,0.3572521507740021,
22,1149,,0.5936196446418762
23,1199,0.3273793160915375,
23,1199,,0.6014869213104248
24,1249,0.3316708207130432,
24,1249,,0.6007488369941711
25,1299,0.33117368817329407,
25,1299,,0.6002147793769836
26,1349,0.31886595487594604,
26,1349,,0.5992115139961243
