epoch,step,train_loss,val_loss
0,24,,0.6056672930717468
1,49,1.2173458337783813,
1,49,,0.5910362005233765
2,74,,0.5900940299034119
3,99,1.1071161031723022,
3,99,,0.5848230123519897
4,124,,0.5850774645805359
5,149,1.029475450515747,
5,149,,0.5882617831230164
6,174,,0.5803846120834351
7,199,0.9385765194892883,
7,199,,0.5743599534034729
8,224,,0.5699757933616638
9,249,1.081543207168579,
9,249,,0.5678317546844482
10,274,,0.5642536282539368
11,299,1.1005175113677979,
11,299,,0.5649635791778564
12,324,,0.5631678700447083
13,349,1.0242390632629395,
13,349,,0.5728901028633118
14,374,,0.5686815977096558
15,399,0.9097882509231567,
15,399,,0.5771507620811462
16,424,,0.568494439125061
17,449,1.0471094846725464,
17,449,,0.5756677985191345
18,474,,0.5661830902099609
19,499,0.8876816034317017,
19,499,,0.5703414678573608
20,524,,0.5794717073440552
21,549,0.9976153373718262,
21,549,,0.5738055109977722
22,574,,0.5798735618591309
